id|iata|icao|name|city|subd|countryCode|elevation|lat|lon
A00153|DJU|BIDV|Djupivogur Airport|Djupivogur|East|ISL|9.0|64.644203186|-14.2827997208
A00154|EGS|BIEG|Egilsstadir Airport|Egilsstadir|East|ISL|76.0|65.2833023071|-14.4013996124
A00155|FAS|BIFF|Faskrudsfjordur Airport|Faskrudsfjordur|East|ISL|15.0|64.9317016602|-14.0606002808
A00156|FAG|BIFM|Fagurholsmyri Airport|Fagurholsmyri|East|ISL|56.0|63.8746986389|-16.6410999298
A00157|GUU|BIGF|Grundarfjordur Airport|Grundarfjordur|West|ISL|17.0|64.9914016724|-23.2247009277
A00158|GJR|BIGJ|Gjogur Airport|Gjogur|Westfjords|ISL|83.0|65.995300293|-21.3269004822
A00159|GRY|BIGR|Grimsey Airport|Grimsey|Northeast|ISL|66.0|66.5458|-18.0173
A00160|HVK|BIHK|Holmavik Airport|Holmavik|Westfjords|ISL|90.0|65.7046966553|-21.6963996887
A00161|HFN|BIHN|Hornafjordur Airport|Hornafjordur|East|ISL|24.0|64.2956008911|-15.2271995544
A00162|FLI|BIHT|Holt Airport|Flateyri|Westfjords|ISL|10.0|66.0141804294|-23.4416913986
A00163|HZK|BIHU|Husavik Airport|Husavik|Northeast|ISL|48.0|65.9523010254|-17.4260005951
A00164|IFJ|BIIS|Isafjordur Airport|Isafjordur|Westfjords|ISL|8.0|66.0580978394|-23.1352996826
A00165|KEF|BIKF|Keflavik International Airport|Reykjavik|Southern Peninsula|ISL|171.0|63.9850006104|-22.6056003571
A00166|OPA|BIKP|Kopasker Airport|Kopasker|Northeast|ISL|20.0|66.310798645|-16.4666996002
A00167|SAK|BIKR|Saudarkrokur Airport|Saudarkrokur|Northwest|ISL|8.0|65.7316970825|-19.5727996826
A00168|NOR|BINF|Nordfjordur Airport|Nordfjordur|East|ISL|13.0|65.1318969727|-13.7463998795
A00169|OFJ|BIOF|Olafsfjordur Airport|Olafsfjordur|Northeast|ISL|32.0|66.0832977295|-18.6667003632
A00170|PFJ|BIPA|Patreksfjordur Airport|Patreksfjordur|Westfjords|ISL|11.0|65.5558013916|-23.9650001526
A00171|RHA|BIRE|Reykholar Airport|Reykholar|Westfjords|ISL|60.0|65.4526290894|-22.2061157227
A00172|OLI|BIRF|Rif Airport|Rif|West|ISL|18.0|64.9113998413|-23.8230991364
